term,tfidf_score
in,0.36514837167011077
to,0.3042903097250923
for,0.24343224778007383
will,0.24343224778007383
be,0.24343224778007383
experience,0.24343224778007383
you,0.18257418583505539
accountant,0.18257418583505539
staff,0.18257418583505539
and,0.18257418583505539
are,0.18257418583505539
this,0.18257418583505539
rif,0.12171612389003691
the,0.12171612389003691
ability,0.12171612389003691
with,0.12171612389003691
work,0.12171612389003691
of,0.12171612389003691
accounting,0.12171612389003691
position,0.12171612389003691
procedures,0.06085806194501846
rqualifications,0.06085806194501846
plus,0.06085806194501846
professionalism,0.06085806194501846
please,0.06085806194501846
reconciliations,0.06085806194501846
required,0.06085806194501846
responsible,0.06085806194501846
resumes,0.06085806194501846
success,0.06085806194501846
rwe,0.06085806194501846
selectstaffing,0.06085806194501846
send,0.06085806194501846
shipping,0.06085806194501846
strong,0.06085806194501846
or,0.06085806194501846
supervision,0.06085806194501846
then,0.06085806194501846
volume,0.06085806194501846
we,0.06085806194501846
well,0.06085806194501846
who,0.06085806194501846
years,0.06085806194501846
oversee,0.06085806194501846
multiple,0.06085806194501846
opportunity,0.06085806194501846
companies,0.06085806194501846
exports,0.06085806194501846
experienced,0.06085806194501846
entries,0.06085806194501846
divisions,0.06085806194501846
distribution,0.06085806194501846
criteria,0.06085806194501846
books,0.06085806194501846
no,0.06085806194501846
big,0.06085806194501846
at,0.06085806194501846
as,0.06085806194501846
an,0.06085806194501846
all,0.06085806194501846
account,0.06085806194501846
familiarity,0.06085806194501846
field,0.06085806194501846
handle,0.06085806194501846
handling,0.06085806194501846
have,0.06085806194501846
ib3,0.06085806194501846
immediate,0.06085806194501846
imports,0.06085806194501846
independently,0.06085806194501846
interested,0.06085806194501846
keys,0.06085806194501846
large,0.06085806194501846
least,0.06085806194501846
little,0.06085806194501846
meet,0.06085806194501846
above,0.06085806194501846
need,0.06085806194501846
your,0.06085806194501846
