term,freq
patient,4219
care,3418
therapy,3065
physical,2611
therapist,2430
treatment,1966
health,1939
program,1917
quality,1487
time,1474
service,1432
home,1275
plan,1168
state,1159
system,1157
company,1100
evaluation,1085
education,1020
rehabilitation,1005
team,999
benefit,966
family,887
life,853
rehab,824
facility,808
amedisys,783
staff,770
career,742
work,739
practice,696
procedure,689
intervention,652
professional,648
function,646
injury,617
employee,617
experience,586
industry,562
technology,552
part,552
services,546
outcome,531
opportunity,530
physician,518
center,513
policy,513
training,493
position,490
hospital,478
standard,471
duty,465
license,462
measure,460
accordance,460
therapies,459
process,442
provider,439
client,437
pt,437
supervision,431
community,427
schedule,404
equipment,403
development,385
discharge,377
exercise,375
excellence,375
disability,374
growth,367
requirement,358
disease,354
medical,351
people,346
goal,346
year,340
graduate,334
business,333
difference,332
department,331
leader,328
task,328
adult,327
salary,323
progress,323
medicine,310
need,310
culture,309
clinician,304
variety,299
vacation,298
retirement,297
term,293
information,292
discipline,291
management,291
clinical,291
premier,289
care.\\r,285
degree,284
thing,283
member,280
\\r\\r\\r,280
solution,279
place,276
hospice,275
innovation,271
account,271
planning,270
patient&rsquo;s,268
input,268
insurance,267
\\rwhy,267
\\r\\r\\rabout,267
possibility,267
\\r,266
box,264
documentation,263
reach,263
\\r\\r\\rresponsibilitie,263
us\\r\\rdream,261
ladders,261
invest,261
amedisys?\\r\\r,261
advanced,261
mission:\\r\\r,261
hospitalization.\\r\\ras,261
listens.\\r\\ramedisys,261
lifelong,261
opportunities.\\r,261
environment,260
qualification,259
job,259
accreditation,258
loss,256
activity,256
skill,254
commission,249
jcaho,243
outcomes,242
performs,240
joint,240
day,239
geriatric,238
list,235
freedom,234
aegis,233
outpatient,233
healthcare,231
criterion,231
resident,231
rom,229
functionality,229
model,227
inclusion,226
modalities,226
gem,225
enhanced,225
"b""aegis",225
modality,222
safety,220
package,216
treatment\\r,216
instruction,216
setting,210
worker,209
meeting,208
communication,206
assessment,206
document,205
status,203
pain,203
device,201
nurse,200
summary,200
licensure,199
employer,198
note,188
knowledge,187
compliance,187
change,185
massage,185
area,182
improvement,182
speech,180
director,180
gait,178
nursing,175
heat,175
impairment,175
compensation,175
age,174
scope,174
referral,171
therapists,169
performance,168
condition,167
group,166
limitation,166
\\rperform,164
\\r\\r,163
vision,163
language,162
record,162
clinic,160
\\rparticipates,159
hand,158
ability,157
regulation,155
traction,154
hour,153
collaboration,153
wound,153
support,153
role,152
concentra,152
certification,151
hydrotherapy,148
supply,148
use,147
assistant,146
level,145
assist,141
customer,141
platform,140
stimulation,140
educator,140
directive,140
leg,140
reeducation,139
pulley,139
cause,139
compression,138
paraffin,138
ice,138
press,138
ergometer,138
treadmill,138
iontophoresis,138
pathologist,138
ankle,138
fitting,137
fitter,137
prioritize,137
fluidotherapy,137
wellness,137
delineation,137
ultraviolet,137
assigne,137
centers,135
-,134
order,132
responsibility,132
philosophy,132
employment,130
pay,130
house,129
student,129
issue,128
individual,124
assistants,124
school,124
assists,124
guideline,120
participates,119
location,118
communicates,117
case,114
inpatient,113
master,113
supervise,111
coordination,110
shift,110
genesis,109
child,109
diagnosis,107
caregiver,107
problem,107
assistance,106
\\rperforms,106
form,106
passion,104
independence,103
occupational,103
agency,101
k,100
infinity,98
apta,98
diem,97
paid,97
bed,96
louisville,96
today,95
resume,95
administer,94
dental,94
new,93
manager,91
ky\\r\\rshift,91
regional,91
st.,90
range,90
value,89
sport,89
week,89
weekend,88
award,88
bonus,88
continuing,86
indicated.\\r\\r\\r6.\\r\\rparticipates,84
weekend\\r\\r\\rdepartment,84
students.\\r\\r\\r15.\\r\\rcomplies,84
programs.\\r\\r\\r7.\\r\\radjusts,84
system).\\r\\r\\r4.\\r\\rperforms,84
garments).\\r\\r\\r3.\\r\\rutilize,84
forms).\\r\\r\\r9.\\r\\rperform,84
team.\\r\\r\\r12.\\r\\rmaintain,84
therapy\\r\\r\\ra,84
charges.\\r\\r\\r14.\\r\\rparticipate,84
act,83
productivity,83
rate,82
\\r\\rwe,82
report,82
approach,81
columbia,80
flexibility,80
candidate,79
line,78
ceu,78
assurance,77
university,77
surgery,77
unit,77
field,77
review,77
expectation,76
holiday,76
initiative,76
teamwork,75
orthopedic,75
competency,75
contract,74
ultrasound,74
phone,73
manner,73
evaluate,73
purpose,72
spending,72
self,72
mission,72
association,71
participate,71
fracture,71
call,70
strength,70
bachelor,70
detail,70
charge,70
law,70
prn,69
reimbursement,69
rule,68
population,68
american,68
relationship,68
assignment,68
city,67
flexible,67
art,67
relocation,67
full,67
product,67
description,66
pta,66
success,65
re,65
prescription,65
tuition,64
.,64
organization,64
focus,64
sign,64
%,64
uhs,64
expertise,63
responsibilities,63
united,63
accounts,62
chart,62
provision,62
muscle,61
recruiter,61
effectiveness,61
tobacco,61
replacement,61
personnel,60
technique,60
licensing,60
resource,58
direction,57
motion,57
off,57
integrity,56
test,56
ot,56
science,55
mentorship,55
tool,55
\\rparticipate,55
inc.,55
\\r\\rdepartment,54
evidence,54
\\r\\r13,54
body,54
office,54
\\r\\ra,54
return,54
trauma,54
\\radjust,53
garment,53
\\r\\r8,53
\\r\\r5,53
\\rcomplie,53
\\r\\r15,53
contact,53
termination,53
mary,53
\\r\\r16,53
\\r\\r10,53
\\rcompletes,53
\\r\\r14,53
\\rmaintains,53
\\r\\r12,53
\\r\\r11,53
delivery,53
action,52
mercy,52
advancement,52
email,51
caseload,50
subsidiary,50
stroke,50
ensures,50
commitment,50
annual,50
access,49
\\rphysical,49
analysis,49
cell,49
mobility,48
mentor,48
disabilities,48
balance,48
institute,48
nation,48
visit,47
respect,47
americans,47
cme,47
appointment,46
point,46
advance,46
maintenance,46
motor,46
addition,45
pto,45
attendance,45
aide,45
application,45
on,44
tracking,44
discretion,44
eligibility,44
national,44
m,44
establishe,44
maintain,43
slp,43
college,42
healing,42
coordinator,42
proof,42
in,42
event,42
u.s.,42
trilogy,41
pathology,41
manual,41
conference,41
fax,41
fee,41
specialty,41
type,40
control,40
response,40
design,40
state(s,40
campus,40
content,40
staffing,40
supplemental,40
travel,40
lieu,40
other,40
per,40
f,40
indicator,39
regular,39
month,39
acute,39
living,39
result,39
illness,39
skilled,39
half,38
capital,38
implement,38
ada,38
way,38
accommodation,38
interviewing,38
|,38
designee,38
cord,37
north,37
potential,37
committee,37
registration,37
instruct,37
stability,37
room,37
co,37
conduct,37
cpr,37
liability,36
satisfaction,36
website,36
judgement,36
frame,36
gym,36
network,36
county,36
principle,36
cane,36
minimum,35
property,35
ndash,35
scheduling,35
finding,35
operation,34
mon,34
look,34
saint,34
corporation,34
functioning,34
hip,34
pruitt,33
\\r-,33
symposium,33
monday,33
recognition,33
disorder,33
brain,33
treat,33
crutch,33
dysfunction,32
california,32
center&rsquo;s,32
centers&rsquo,32
assistant&rsquo;s,32
lifestyle,32
wheelchair,32
appreciation,32
behavior,31
evaluates,31
pm&r,31
milwaukee,31
source,31
patients&rsquo,31
park,31
basis,31
assesse,31
technician,31
region,31
aides,31
practitioner,30
leadership,30
datum,30
floor,30
instructs,30
skills,30
therapy.\\r,30
marys,30
w/,30
memorial,30
luke,30
saving,30
adl,30
students.\\r,29
san,29
dpt,29
\\rposition,29
washington,29
develop,29
board,29
option,29
direct,29
cost,28
days,28
precaution,28
medicare,28
opening,28
workers,28
senior,28
patient.\\r,28
friday,28
efficiency,28
compassion,28
measurement,28
colorado,28
person,28
aspect,28
core,28
indicated.\\r,28
deposit,27
administration,27
cancer,27
risk,27
allowance,27
responsibilities\\r\\r\\r,27
programs,27
code,27
wisconsin,27
leave,27
auto,27
section,27
working,27
teaching,27
ga,27
llc,27
licensed,27
reputation,27
south,27
weekday,27
ext,27
standards,26
party,26
help,26
center.\\r,26
due,26
members.\\r,26
them.\\r,26
examination,26
administers,26
internet,26
time\\r\\n\\r\\nshift,25
decision,25
interest,25
york,25
d,25
wealth,25
consideration,25
michigan,25
heart,25
states,25
processes.\\r,25
employers,25
centers.\\r,25
atmosphere,25
choice,25
bodies.\\r,25
oregon,25
b,25
pediatric,25
supervisor,25
drug,25
motivation.\\r,25
therapists.\\r,25
ca,25
holidays,24
recommendation,24
ohio,24
lymphedema,24
conditions,24
date,24
brace,24
healthworks,24
effort,24
incentive,24
exposure,24
carolina,24
indiana,24
bls,24
asset,24
mark,24
site,24
#,24
illinois,24
delegation,24
emphasis,24
missouri,24
reimbursement\\rtuition,24
pharmacist,24
implementation,23
